Folder,Vertices Count,Faces Count
10155655850468db78d106ce0a280f87,7826,32600
1021a0914a7207aff927ed529ad90a11,2235,8448
1026dd1b26120799107f68a9cb8e3c,4425,16732
103c9e43cdf6501c62b600da24e0965,34060,135252
105f7f51e4140ee4b6b87e72ead132ed,13186,50648
1066b65c30d153e04c3a35cee92bb95b,12251,47570
106dfe858cb8fbc2afc6b80d80a265ab,16616,58202
10aa040f470500c6a66ef8df4909ded9,398,1708
10af5de930178a161596c26b5af806fe,4271,17320
10c7cdfdffe2243b88a89a28f04ce622,8319,32500
10cfc2090a2ade124c3a35cee92bb95b,22758,75704
10db820f0e20396a492c7ca609cb0182,25266,97796
10e0a7255d279a419751c7a6f15617f4,15207,57870
10e4331c34d610dacc14f1e6f4f4f49b,30936,122616
10eeb119fd5508e0d6d949577c389a84,15923,57352
110f6dbf0e6216e9f9a63e9a8c332e52,8413,32352
112ca5420188df4bd90bfc986bc4c94d,12824,50750
1169d987dbbce76775f4ea0b85a53249,13860,54710
117830993cc5887726587cb13c78fb9b,4888,20850
117861b9ebca4f17c69cb28fb4b4d257,19016,76130
118e8142a8cb1fe19a4a28ef635593ce,10133,38134
11d2af04fad0a7e2ce19d55bc5e6a406,5151,22492
11def84f9fe8ab0acd726e804e5d7a,9890,42592
1203825bf97bc3524722e1824a086fad,4821,19392
121b5c1c81aa77906b153e6e0582b3ac,9393,44406
121e9fceb90440efed79d3bd546890bd,5133,20734
122776d17b6a118086da73d36506db6f,928,4028
122963149f6a04272620819ddac40644,34286,153776
123ac29b0aac8c8e5d07633dda45110,23533,87202
123ba1ebe2ee533ef0c45eff2a917cc9,6432,23940
123bd9e948881939c38a1d3458dafa1b,94,386
124062ccaeae95085e9e2656aff7dd5b,30073,119366
124a579e0635b8eace19d55bc5e6a406,4945,17972
125417c3fa9bc1b130f57e42c77d3894,7819,26172
1272dd98c66f13579a6e43b878d5b335,4251,16888
1280f994ba1f92d28699933784576e73,8475,32118
1284eb71b82f6794207f77cc6c79e3d5,112210,448836
1286826ff37699a1a0d713eb26379316,42255,144080
12877bdca58ccbea402991f646f01d6c,89,362
12991e9529a2b2bf9ac9930d2147598f,1149,6416
12a1ac26d29ed1083554ccf8c30febe7,11861,37246
12b25b8de7aa37a0bd46d022fd7d80aa,19911,59190
12c66a0490b223be595dc3191c718398,21907,75280
12c82319147385e7ef0e1705c5c9e361,17084,65074
12d15ac778df6e4562b600da24e0965,17203,61628
12e127c0416f94ca4c3a35cee92bb95b,26498,104374
12e6e5f07b3aad3c5b9f44d7cd72a051,65502,276222
12f3fb99c95c6a7357891d676f728bc0,516,2122
12f4778ebba781236b7bd17e458d0dcb,39307,128576
130422d62194cf026c8067e570d6af71,867,3836
1304ef60fe9793f685e0a2007a11e92f,24041,88142
130934b3dd2fddfaaf4f36f817f09501,16271,64696
130d3f27fb083eebc0909d98a1ff2b4,11983,44020
131db4a650873babad3ab188d086d4db,41570,149082
132111c575000a3c146e44cc99f07c52,20993,76460
1322a9cabb1517219a6e43b878d5b335,6009,24212
132fc603f8f69b08e816c75152573ee0,18811,70518
13370c42b8ea45cf5e8172e6d9ae84ff,219,806
133937bd45f953748be6919d4632fec1,10744,45590
133b74393a3349aa70c4138179d9ed97,11052,42772
1345cd9d0da6d149c6f6da58b133bae0,7878,30844
1354e0acd354a3ddb6670e1d7042072b,56660,231102
1367266dc0a07c925d4533028830a79b,522,2062
136c2b868c5326dbba5db366aa3ac475,3563,14238
137acaae47b50659348e240586a3f6f8,12371,44906
1385305478499e6c1e06124bec25a766,5409,20744
1397f5bfd89673b21fc43d5b32fa230f,1332,4908
13daaef458d6bb11e1873a3963e0d14,15404,60700
13ea0a2ac279dbaa5e9e2656aff7dd5b,24431,97098
13f9eb29d699488a99eab31c7df6f5c3,2258,9484
14161a05a21cbd6f62b600da24e0965,15561,58530
14282db0ca4238429a6e43b878d5b335,4068,16118
142acab4424009a123fc69eefd95e6d3,6226,23908
143326cbe409ca9f62048be44e1fa435,20754,73216
1435b52348569ce1bd46d022fd7d80aa,26129,96548
144070f63941362bd1810447902e2904,565,2372
14453b29e139d81f6d07c55cf995503e,8043,32260
144649df5a5f9c8b5e4cd38353d7ef05,1958,8774
146533404a778665c93b40751084c22,9633,36770
14762404f34eb050bf7a28999a707afd,3429,13948
1482d7a9e529dde7340461a254c1a95,22809,99736
1490a4ae04d453784f856435f28995af,48138,156752
1492ab4cf7a345e34b6f686803e61ffd,3182,12774
1496504f42de2eef8b96ae1a0a8b84ec,13621,45612
149702d4e275568c18b14db3b83de9ff,4654,17624
14bf5197d60d733f2a3ecc4a9713cabb,17234,61186
14c954d5d3c8e954b6b87e72ead132ed,9981,37878
14cd2f1de7f68bf3ab550998f901c8e1,3746,15082
14d6bbabad3ad00dbbf3143b1cb6076a,21620,83230
14d9c576d06622198f52dc705c3109b9,13309,49280
14ec1da5f5499d83bc0909d98a1ff2b4,21823,87266
150cdc45dabde04f7f29c61065b4dc5a,1108,3378
150fd58e55111034761c6d3861a25da2,41390,169516
151550551758af098b96ae1a0a8b84ec,41524,124856
152d35bcceab5592eb1a0518c224975f,8597,33190
1530400ceabc1d7145ec485f7da1d9e3,22423,73214
154146362c18b3c447fdda991f503a6b,6411,25008
15442b53631b7e88232438a710acf1da,58385,234404
1560968d05cd8887cc14f1e6f4f4f49b,25020,101622
157936971ef9b6bb858b20d410ebdb99,3181,11392
157a81baeb10914566cf1b4a8fc3914e,32523,128138
157bb84c08754307dff9b4d1071b12d7,20126,78656
1580c09f49bb438a7209009cfb89d4bd,15706,55960
15898fef6fec88c53ada73811bb576de,3440,13064
1597cbeb8266af206aa3bf023a2b42a5,11495,44818
15ce56898a636466afc526de59117398,511,2114
1605bdb8709be6773c4d876662ed7ef0,2475,10016
16079ddc92f4c9efd677715e63c14038,11481,45292
1628b65a9f3cd7c05e9e2656aff7dd5b,17586,67242
162ed8d0d989f3acc1ccec171a275967,4614,17460
1659db64bbf46bcdc1955ee4b5680e91,7918,32352
165c4491d10067b3bd46d022fd7d80aa,18951,69390
1667ab313638fb366cf1b4a8fc3914e,17795,67510
16689e54c884aa01639c7058eaf33ae,1184,5714
166c9abfb0f5256bbf46baa68c6e37d4,23778,86538
166d333d38897d1513d521050081b441,1427,6248
16715d886ecf0a97ce2cec85ea6ae00d,14652,60022
167250e2014c72dbb87697d3904b168b,30911,121788
167740d2a5f5cb6c7f4561609781d8c9,765,3188
1678946724380812de689e373096b0e3,563,2530
167a44b60adc37319ba010ddb4974fe,16062,58546
16868a30ebe634053dc22b596edc161e,39638,151964
16b2f62791bd9f003554ccf8c30febe7,15997,62028
16d40e779903e77863b132896d8bc65d,936,2722
16ef481509c64f845dcf422dd1ee66d9,4856,19948
16f67f87f414a5df26360e1e29a956c7,156646,605844
16f81f41ba16edebca8607f540cc62ba,18951,69210
171f4e9ffda674f44f4fd7b0550f5bef,35582,142240
172764bea108bbcceae5a783c313eb36,81,264
172ac13acd9aa91f3df325aac2f73830,38758,146862
172e23ab5b4d189566cf1b4a8fc3914e,34796,138106
177ea8d43905b1646ee4da51ee0005c9,16068,56408
177fadcfa6b4a8346aa3bf023a2b42a5,16514,64922
17874281e56ff0fbfca1f1143bb6bc17,22509,86482
17ac3afd54143b797172a40a4ca640fe,255,958
17ad3ab1b1d12a7db26dc8ec64d633df,10075,36468
17bc7631cbdaaa0c932e2c9d273ab571,7512,27974
17c2d3e052dfe73f9cc1fc25372199f,323,1614
17c86b46990b54b65578b8865797aa0,33813,126948
17e66cd463ff0de126360e1e29a956c7,17654,70100
1807d521bc2164cd8c4f5e741c2f9cdb,9179,38666
1818597d398db8f7f1f82f6fc8747b8,9837,37788
1825c91c5f2da4bab12962b43f188cbb,14126,55800
1850f4acdfb738bd7456183f198fd1e9,3025,12262
1856da25a85402ce63e266a803d9270,26345,105390
18666bda4244d22ca7aff2c3136e8e59,14316,54164
186ca7892ed6de2adb22b838c125a50b,6547,25532
18806a80387734b754c7b6e11bf7148d,393,1526
1887d7e3ec69fe06a5cac89017eae8d1,18361,65514
1890f6391df25286394b1e418d5c594,38092,157564
1896f1f8724aff33b7ea0a7ab024f81e,34838,138710
189f045faacc1b5f9a8993cdad554625,7288,27706
18cd9dc7631ef3064c41882468413db8,12288,52926
18d0da47a238945abc0909d98a1ff2b4,20298,76054
18d123aaef6b911954eefcdc602d4520,16750,61936
18d55087d052ecc86b7bd17e458d0dcb,15173,60630
18d994c4f8362cfaee9d01b4b18e1b2f,11649,46020
18e6f319062ccb49ca8607f540cc62ba,22421,81828
18e86ba0172154f3bc0909d98a1ff2b4,13181,49722
18f5265d553d72fb6b7bd17e458d0dcb,26538,99952
1914552110aa5a61c1006ed55bc1a3fc,16101,62384
1930a979c7a9a2d662b600da24e0965,30895,122266
194098fb0aefc4a0666bd6da67d3abc2,51941,207600
1943ee06ecb139819330265a9fff38de,2069,8076
1954754c791e4571873ec74c119307b9,29686,103056
195ca2eabbf7c735a8d66821ccb813fe,2512,10230
19604020a86ab1790b1d6deb98feec6,35768,139912
196d35794f869816db6f03b6829a5891,81,358
1974f6955c36c2aece2cec85ea6ae00d,14203,59794
1998ee1bf3806b05818b286e41cc1a3f,325,1432
19a624cf1037fc75cda1835f53ae7d53,182,658
19b219dbd2e4467828d4f2ffc8f17f3a,1629,5712
19b6112991fb8e33f3f2af1b43965204,1262,4928
19e2864af4f6de438050e8e370967931,2605,10250
19e531e6d0bd5ddd67c54439d6177032,26839,101156
19e6717acfa7d2bdca8607f540cc62ba,23292,85692
