Folder,Vertices Count,Faces Count
100715345ee54d7ae38b52b4ee9d36a3,52081,200018
100c3076c74ee1874eb766e5a46fceab,30530,110768
10247b51a42b41603ffe0e5069bf1eb5,12351,45448
10555502fa7b3027283ffcfc40c29975,35647,86709
105dedf1b70c2826b2dcc642c86ae8f4,54565,210120
10716a366de708b8fac96522b26f7fd,17628,49980
107699ca67fcdf3fea999fe4ffdc2504,18928,55507
1079efee042629d4ce28f0f1b509eda,55211,212784
107a17c6f2dd9c488924120dfad0e290,70816,268680
1089cbe82dc0e72133d7c9e122eec9b6,10914,46968
109567d7d55b8fe515a520abec2f04dd,65374,230567
10d388f6f578e4e8851f021b9ed69c58,24605,98574
10e15fd62309a13d1812324a4c0d910,11996,42696
10e99b1475098c0aaa69dfdc5532bb13,17584,60150
10f158d2f43926ac80360680c1602c7d,32619,112101
10fda5aa525f6232be8100817bfe3c8a,11818,42816
1100f9eac1ca426a3dc399576707b67,28740,100292
1104f0924e03f2b6fc5886e868449015,32938,113768
110ab054cfc351f46a2345809e2bb169,83142,262830
1137cd58d6a45c6659a47b1880958de9,11123,19991
114b662c64caba81bb07f8c2248e54bc,37124,143712
115170b8b44f9e2e5b2bb28aa7453162,33363,100332
1151e7cd24f5bd21ccbd9e5bb82dd04,104303,406826
1159faf9bf78998493680c5a9a367b4a,5994,22596
1164dc97642a22ff5acf55f30acc008d,20060,56799
1166b049a7230db9f50f5d46dfed0533,39586,189338
1176dff7f0ec879719d740e0f6a9a113,20399,74592
119033fe083145e22f31600ac759c763,11725,39644
1198255e3d20d2f323f3ca54768fe2ee,15538,30896
11a96098620b2ebac2f9fb5458a091d1,63446,217667
11b09de6631b3b3ad997cda1a938a10d,28935,93542
11d1fdaedf3ab83b8fb28f8a689c8ba3,22478,66122
11dba0c2ec8127356c2fe9dcfa1ee2f8,47520,135144
11e5b7d67058e1d75f67208653687b70,23831,51024
12097984d9c51437b84d944e8a1952a5,22675,73614
1213742aa7815fd0e23d60a1b706b44f,21070,50188
12243301d1c8148e33d7c9e122eec9b6,13390,61608
12410830e8a5067c69576518bd9bfe48,42996,113212
12498dd65e8d65ac3b6f5204eb590354,53334,137924
1254c6ad2b420879d7622e6da48b19e5,44451,166710
125a4780c2d5095d19454008aa267bf,64539,234178
12796524ffbadb755400f0dc3171dfcd,21880,58800
127b9ba77b54ba59bda733a39f84326d,24852,105472
1284876ac0e2371aa4dbb766064f8bbf,66299,243430
128ad72f92a3e96db96212c8f6cd06e,47604,182208
12909f5d613953b8b3c9b3f81618206b,34845,125800
12941cb870df79b9815337ac44abb964,15239,63260
129921679aaa3009e44df9b78a00d12c,46755,145717
12a034b6be9afb50ae983613a2e0a741,15063,61168
12a445770f7d6f2b70a43c2d978e502e,38017,146326
12b5e4f52c22b348d8499d8846cb4c3b,27505,96176
12cd99c20b1a5a932e877e82c90c24d,24288,83731
12cf05b9f5f2d2c195c8d3a7db4dbe65,47784,144095
12d463649ed6c176ab98a7077c964a60,37361,142917
12d7c4013415ea147f5b0cb87a91de52,9443,36846
12de9c37c83992c66392cc95e1b05a28,164845,654386
12f2905dc029f59a2479fbc7da5ed22b,15434,62546
1328a95d69cefe32f200a72c9245aee7,15894,51174
1336353d15efdf010f6f717db02df67,21175,38217
133b51a2dcecd83c7c3c6f82a395b347,48312,110700
1355f3aa779b599b16abce8cb03e7794,23202,76532
135c965744d1a523a60665b13300f1fd,30507,113816
137f67657cdc9da5f985cd98f7d73e9a,18714,39855
139718b631cbca546a36136419d55d5c,16311,34582
1399eab8ad7262eb7f3efc94c2d31dc5,29561,78020
139df45393b6847838805e546aa28d99,12878,21147
13d090612aec3d80ca92a4cdad802b45,40498,118613
13d0f68f32a86bdfe3857ce739e6606f,12645,38280
14121abc9e2a868e52ab7aae4be20d81,28594,111740
1424d894bfd59cdc65e9f24f8c34a52,87817,163657
14330011009dacfed49701eac14326ae,12615,23642
144d0880f61d813ef7b860bd772a37,42349,166114
145e18e4ec54ed5792abb3e9ac4cd40c,62011,223668
147889b73fa491d82e877e82c90c24d,20708,67671
148ba646cf954b9249352dd33f95cb9e,33874,69279
149978eefad83cbafd8e7b05498794b9,77033,306500
14ab7a48f51bfe69597505fd7d99b613,39242,90684
14ace3e8d05f8d21a413908c0e169330,12086,21346
14d47aa57151ae4baa93570ec0c0afff,35256,97848
150f2cf6e9c54d08c24a350006d347c,50973,197844
151bebc457224c2733d7c9e122eec9b6,12905,50748
1523402e11400b75becf71e2e014ff6f,44511,162998
1548f5fb0684d08c63155b8ebc275bd1,32761,121516
1552f1a6521bb54a4bb135bcd06914d,14491,53438
1569406dfc3b7ecba9fe1734a6086750,89566,289450
156d4748560997c9a848f24544821b25,54330,176815
158a95b4da25aa1fa37f3fc191551700,40625,161374
15a5e859e0de30e2afe1d4530f4c6e24,54263,210336
15c3b923c85d22796d8b9531f93cc8de,23842,63283
15c785a7505992c3a9be8fd09fb14f4f,28614,56844
15cc37ac9b3b756acfd826dd468a5497,40951,145956
15d6cd7877c6601d9ed410a010efa019,39026,135939
15e52e44cdcc80ed13ded1857c15b5b6,74703,193324
15f605c6fffea827e7436c0fba14b4d2,66946,241766
15fcfe91d44c0e15e5c9256f048d92d2,22772,92812
163786646ae2578749a5fc144a874235,53379,189422
1641efa5c92514d86c4f4dbcda5f2fc0,9404,15822
164c8597d8eae2f6f21c3b61f0b564c4,15299,46042
165aec174bb93968a114c8c036e29a08,24600,86591
1660d6b7221223708a49a62fbc70ff9a,78528,200187
167a645149efed1fdca2ca2624f821d9,32418,121106
167df2c10c116eb5d61b6a34f3fd808c,35014,91851
167ec61fc29df46460593c98e3e63028,51318,130710
1687b77b048d1aaf635b88185c42637a,9500,19257
1688bcda878d3b18afe717997470b28d,53636,199082
16ba461c0d7c8435dd141480e2c154d3,103725,305504
16bd0438de54fc91b1bb46d2556ba67d,24648,91570
16d6ecc22218e21b36dfef0450f0ee37,18552,53990
1710ff46ca275e171df27141dea8c9a,20252,85092
1713a1ac8aedcc522b12ea83455b0f44,25655,99576
1714b6e57c8c4983fb1aad5dae793ff4,44739,96947
171c20ce4de5ee8730f65ce13e7c1910,10490,41640
1724ae84377e0b9ba6c2c95b41a5446d,39075,83772
173669aeeba92aaec4929b8bd41b8bc6,7095,22662
1736b8494abf38ba4eb766e5a46fceab,62517,185030
17457b1f42019702618e9d35559b7aa,14160,52350
174f1a421f652029d577c0ac53e96823,33785,112853
175a289947f549b0e088606e38104b2,11273,21284
17600a4881b1ff6a5c14de0cb75f4d3e,12781,51810
1768f55a3c29cd483337cb9d908ce86e,15971,57674
1782558e47730989b96212c8f6cd06e,15476,60970
1790131f5f74b1ed973aff268eb6b00c,18512,39453
17926c1ef484b73e6758a098566bc94e,24359,90366
17bf28a8d9b5a7ccb5e3401710af905a,57095,218502
17bfc66c6bc0a99d68c415156b102065,10300,35439
17c08a4bf8224f47473f10e6caaeca56,23910,93240
17c32e15723ed6e0cd0bf4a0e76b8df5,27279,108556
17e146cb10c72fcfa2b80c598d71bf14,87707,302832
17f89c25a3142ee09d2b99af43da16b3,20263,51144
180d1e3463c29355bda72093f9b5aa73,27543,66386
18244d93dbd2afbebda733a39f84326d,17331,70532
1836f75baa094cd9372ca62e6806c5c3,20421,80926
186646b16a670b7d69a949ac99a843c4,9350,32620
187b002f0af1ab5a473f10e6caaeca56,43495,166966
188621bbfc7d9477ce27281f3b76d1f5,36342,123352
18927999d0c5a9687ba2618ede0d52ff,70338,279537
189c2b53ef76d02978a20fe14185667,21682,42837
189cffefcdd5cb071a126804ae24042,8762,23867
18a9275b78be4b9ec6d3267fc5334296,15932,36287
18aad9d102afbca57ba2273581c30cb,9785,42714
18c06b8c38623c0b4046e8fe9dfc34b5,11018,27651
18c7b5644290ce2caf0c754abe32de,61577,245818
18cd6293d7b17a698ce68842a487b19,40230,101737
18d2959d79af059e476502dcb0dc5465,34506,132478
18d9ac72442260e0e97c6bb243ef67d,27800,111544
18da5e80080352be294d52e32dbd135b,19636,70714
18e16129375e723e6f8f8c736fcc7940,37829,145176
18f6df600df7341ab0bbc6f39febba97,26780,55608
18ff13d7f181e7625fa21635eac9e4ed,40584,94804
19042f5a90290859441c11ab4641b257,20255,52592
191f9cd970e5b0cc174ee7ebab9d8065,25287,93044
19245fb8ee79038fcd059a326bfe20ef,9874,37782
192bc73d5825bfc7bda72093f9b5aa73,33728,114475
192fdf42f5a2623d673ddeabdcc8c6e,54992,220394
193ec1089f0a98a36518e6cd1fbc5fab,36861,104161
19541db644551287ee0112963a7e11e3,53761,195689
1963641a15916c03709ce7955adef61b,23539,76337
198d8e274c59511b36a1a31af8f59,8824,14604
198dfa16ba9f5f6617e76f36a4eac3ec,21371,79656
19c25429d34ce9748c844a5e3a5e1a93,15795,50207
19cd3489f05d203f9ed410a010efa019,57893,178397
19d0843797b8b2216abce8cb03e7794,50544,142431
19d35f3e0c0b402125ddb89f02fe6cc0,13246,50282
19d49c8015948b742d60c8689a64d7a0,16116,61848
19f52dd4592c3fb5531e940de4b7770d,21492,53106
1a0bc9ab92c915167ae33d942430658c,19816,38378
1a1dcd236a1e6133860800e6696b8284,54598,215472
1a1de15e572e039df085b75b20c2db33,38860,95848
1a30678509a1fdfa7fb5267a071ae23a,30890,84022
1a3782ae4bd711b66b418c7d9fedcaa9,58836,120776
1a48d03a977a6f0aeda0253452893d75,113312,420866
1a4ef4a2a639f172f13d1237e1429e9e,29502,65878
1a56d596c77ad5936fa87a658faf1d26,24223,51776
1a64bf1e658652ddb11647ffa4306609,17165,63110
1a7125aefa9af6b6597505fd7d99b613,24030,54176
1a87a329781b15763820d8f180caa23a,23671,82760
1ab80bc91a45b7d0a31091d2234b9f68,24825,87656
1abeca7159db7ed9f200a72c9245aee7,38147,133183
1acfbda4ce0ec524bedced414fad522f,22194,44180
1ad321f067ffbe7e51a95aaa6caba1d3,23228,79527
1ae184691a39e3d3e0e8bce75d28b114,47343,144909
1ae530f49a914595b491214a0cc2380,25321,44164
1ae9732840a315afab2c2809513f396e,10360,44844
1aef0af3cdafb118c6a40bdf315062da,22219,85672
1b1a7af332f8f154487edd538b3d83f6,37493,127885
1b25c745164e53b822d2fb8fec68f2a1,69279,164979
1b2ef0809ca1abc7ca92a4cdad802b45,54366,183537
1b5b5a43e0281030b96212c8f6cd06e,9408,32968
1b85c850cb4b93a6e9415adaaf77fdbf,39366,164774
1b94aad142e6c2b8af9f38a1ee687286,73613,268436
1ba30d64da90ea05283ffcfc40c29975,58032,215666
1bace29924c0ae42226fc3902f16303f,130983,382571
1bb6b1ff46096f592dfac2620a0cf07b,22173,40916
1be075751d7cfbf9ee8e9bd690a19ec1,24325,95866
1be81460e620aea65cde8c99e4b182f9,70397,231915
1bef8891f35535ac2e877e82c90c24d,13156,26820
1bfe2cb495f63c8f6bd865f153842b49,18600,40672
1c14ef4c48b7d95d61c6c61410fc904b,60585,219587
1c1a3dc04b6f1f8fd8162cce87567b4,47888,175562
1c1bd2dcbb13aa5a6b652ed61c4ad126,56614,216172
1c351358afff1cc582e5e3e7771ea25,30158,76282
1c3c8952b92d567e61c6c61410fc904b,83140,305485
1c4590ebc214e029816bd8f64e08b2bc,16175,31408
1c490bf1c6b32ef6ff213501a803f212,48045,181880
1c53bc6a3992b0843677ee89898ae463,49377,177776
1c5a350ea0f55f793fbce9ec40e1f047,15570,51621
1c6591c3fc686bf24132f89b3e69f40f,9511,18610
1c66dbe15a6be89a7bfe055aeab68431,13311,52036
1c7a2752e1d170e099399ee63318a21b,23047,78740
1c7ddd2735778013ce50f18f6100cef6,18644,63760
1c86d4441f5f38d552c4c70ef22e33be,22111,76577
1c8cc8dd7b2d9671c7709b125ddd3d3,55537,206918
1ca64f9d6e008fb35fcb05674109534a,65866,196210
1cb102a066270f79db1230abb5fc0167,16741,47634
1cb95c00d3bf6a3a58dbdf2b5c6acfca,67684,241226
1cc85c2c1580088aad48f475ce080a1f,14646,60484
1cd4a2c1b3b4a9661487189ebf835715,120813,416157
1cd50bde9a3e711637b0898eccd7168,12272,47029
1cde62b063e14777c9152a706245d48,30316,108608
1cf08633fc7e8d193d21cf61f69e40a4,15870,63908
1cf14b4004e1d2e22c6ce678c9114ba5,44419,163716
1cf17a1e1841d10c9e6a3356df3f3d9a,32881,60887
1cff510c0630c3cc673ddeabdcc8c6e,20850,83614
1d0a46cfc2799eefdeea60824a43a0b,24469,92990
1d234607fafd576b6dede2eec861f76,31027,76085
1d2c5ee3b5ef205164bd4e0c23ded276,30330,64490
1d4066f8ae88a1ebec8ca19d7516cb42,18935,64174
1d4b2404a00ef4bb627014ff98c41eb1,20024,71914
1d4eaafea3ae8303ce94fde2d6224f79,18765,68021
1d5872004edf12038644d87f4c93cda7,19192,77956
1d700f9bfc275cd23681114f72c10d56,35395,122588
1d82316d98f620513b86a9df4269733,15759,47864
1d82451a55d19cdd711f9e3a79a13dcf,39691,160360
1da433472693082a3b03cab05e253d9,48035,182359
1dbb02c20bb93af81c1b3b2ed8d13bf8,74704,296126
1dbb24dedcb23beab1bb46d2556ba67d,32025,104068
