category,num_models,min_vertices,max_vertices,avg_vertices,min_faces,max_faces,avg_faces
airplane,4045,21,401231,15754.30,64,1464688,60295.77
ashcan,343,20,62655,4149.27,84,247416,15160.19
bag,83,64,26446,3677.11,174,102834,13617.52
basket,113,8,29754,2698.12,20,123576,10152.23
bathtub,856,16,119781,4204.90,56,490608,16432.11
bed,233,44,50424,4187.45,168,248874,17247.18
bench,1813,10,128717,4014.23,16,513268,15409.18
birdhouse,73,70,11209,645.96,288,54304,2676.82
bookshelf,452,16,56902,1674.21,56,227152,6140.58
bottle,498,40,160357,2373.40,152,641496,9310.61
bowl,186,48,29227,1588.10,168,98302,6074.40
bus,939,110,261758,17544.70,376,1082400,68678.42
cabinet,1571,16,85516,2861.37,56,340380,10931.44
camera,113,109,46055,4221.53,352,186924,16558.92
can,108,48,33613,1659.22,184,131452,6523.91
cap,56,113,45108,2510.09,428,157964,9429.25
car,3514,21,446820,36313.17,20,1729143,119757.56
cellular_telephone,831,17,52279,2860.47,60,209266,10518.25
chair,6778,12,1950692,3994.25,20,3858050,14538.83
clock,651,8,173349,3703.56,24,723788,14568.07
computer_keyboard,65,58,41425,7733.38,216,164830,26303.20
dishwasher,93,8,29437,2307.03,24,95538,7950.80
display,1093,10,140251,1983.63,22,258866,7172.32
earphone,73,280,22591,5547.99,912,90716,22115.86
faucet,744,92,62781,3539.10,364,235960,13158.13
file,298,23,113362,6138.49,64,443116,24662.10
guitar,797,60,181412,14105.53,232,725806,56350.51
helmet,162,74,33610,3222.56,264,131798,12725.16
jar,596,17,94301,4274.59,56,363568,15826.93
knife,424,19,41623,1709.39,64,166504,6990.18
lamp,2318,10,176346,6232.56,16,678544,23129.16
laptop,460,12,65392,4248.99,48,252106,14886.23
loudspeaker,1597,8,361773,5485.79,24,1437632,21070.15
mailbox,94,22,9391,1149.35,56,36494,4219.68
microphone,67,74,28239,2273.81,248,113452,9236.00
microwave,152,10,30816,2387.55,28,123706,7720.80
motorcycle,337,239,94391,37183.43,902,377200,149967.69
mug,214,55,21976,1753.98,156,87350,7008.27
piano,239,60,150298,5974.11,256,675960,24684.73
pillow,96,16,15500,2780.30,64,58818,11058.90
pistol,307,197,44344,4422.56,760,173636,18002.01
pot,602,14,479346,9142.98,40,1228484,28858.61
printer,166,17,49145,2488.72,36,197976,9543.83
remote_control,66,52,28938,3044.89,200,110994,11081.88
rifle,2373,80,349266,6647.31,324,1405624,27005.62
rocket,85,49,59410,6420.26,228,233290,24240.26
skateboard,152,58,150587,10351.62,208,631916,41848.14
sofa,3173,12,212080,5253.50,36,842160,20897.65
stove,218,14,74402,5784.07,48,285258,22262.64
table,8436,8,157016,2385.87,16,599852,9382.86
telephone,1089,17,52279,2901.40,60,209266,10780.15
tower,133,29,90825,5987.92,92,369820,23947.05
train,389,34,164449,23780.36,104,656390,94641.40
vessel,1939,36,1133472,13449.19,106,4443092,53128.88
washer,169,22,41164,2689.28,72,164152,9384.24
